,x,y
0,"There are 11 red balloons, 2 blue balloons, and 1 green balloons in a classroom. How many balloons are there in total?
Add 11, 2, and 1 to get 14.",Answer: 14.
1,"A farmer counts 12 cows in one field, 5 sheep in another, and 4 goats near the barn. How many animals does the farmer see altogether?
Add 12, 5, and 4 to get 21.",Answer: 21.
2,"In a puzzle, 4 triangles, 3 squares, and 12 circles are drawn. What is the total number of shapes?
Add 4, 3, and 12 to get 19.",Answer: 19.
3,"During a game, a player collects 2 bronze coins, 11 silver coins, and 12 gold coins. How many coins has the player collected?
Add 2, 11, and 12 to get 25.",Answer: 25.
4,"A child stacks 15 wooden blocks, then adds 9 plastic blocks and 2 foam blocks. How many blocks are stacked now?
Add 15, 9, and 2 to get 26.",Answer: 26.
5,"There are 10 red balloons, 7 blue balloons, and 1 green balloons in a classroom. How many balloons are there in total?
Add 10, 7, and 1 to get 18.",Answer: 18.
6,"A farmer counts 1 cows in one field, 2 sheep in another, and 4 goats near the barn. How many animals does the farmer see altogether?
Add 1, 2, and 4 to get 7.",Answer: 7.
7,"In a puzzle, 4 triangles, 9 squares, and 10 circles are drawn. What is the total number of shapes?
Add 4, 9, and 10 to get 23.",Answer: 23.
8,"During a game, a player collects 1 bronze coins, 9 silver coins, and 4 gold coins. How many coins has the player collected?
Add 1, 9, and 4 to get 14.",Answer: 14.
9,"A child stacks 12 wooden blocks, then adds 11 plastic blocks and 12 foam blocks. How many blocks are stacked now?
Add 12, 11, and 12 to get 35.",Answer: 35.
10,"There are 9 red balloons, 7 blue balloons, and 4 green balloons in a classroom. How many balloons are there in total?
Add 9, 7, and 4 to get 20.",Answer: 20.
11,"A farmer counts 8 cows in one field, 10 sheep in another, and 5 goats near the barn. How many animals does the farmer see altogether?
Add 8, 10, and 5 to get 23.",Answer: 23.
12,"In a puzzle, 13 triangles, 14 squares, and 1 circles are drawn. What is the total number of shapes?
Add 13, 14, and 1 to get 28.",Answer: 28.
13,"During a game, a player collects 13 bronze coins, 13 silver coins, and 3 gold coins. How many coins has the player collected?
Add 13, 13, and 3 to get 29.",Answer: 29.
14,"A child stacks 12 wooden blocks, then adds 7 plastic blocks and 6 foam blocks. How many blocks are stacked now?
Add 12, 7, and 6 to get 25.",Answer: 25.
15,"There are 5 red balloons, 3 blue balloons, and 4 green balloons in a classroom. How many balloons are there in total?
Add 5, 3, and 4 to get 12.",Answer: 12.
16,"A farmer counts 13 cows in one field, 6 sheep in another, and 2 goats near the barn. How many animals does the farmer see altogether?
Add 13, 6, and 2 to get 21.",Answer: 21.
17,"In a puzzle, 2 triangles, 7 squares, and 2 circles are drawn. What is the total number of shapes?
Add 2, 7, and 2 to get 11.",Answer: 11.
18,"During a game, a player collects 6 bronze coins, 14 silver coins, and 6 gold coins. How many coins has the player collected?
Add 6, 14, and 6 to get 26.",Answer: 26.
19,"A child stacks 10 wooden blocks, then adds 5 plastic blocks and 13 foam blocks. How many blocks are stacked now?
Add 10, 5, and 13 to get 28.",Answer: 28.
20,"There are 1 red balloons, 12 blue balloons, and 8 green balloons in a classroom. How many balloons are there in total?
Add 1, 12, and 8 to get 21.",Answer: 21.
21,"A farmer counts 9 cows in one field, 2 sheep in another, and 15 goats near the barn. How many animals does the farmer see altogether?
Add 9, 2, and 15 to get 26.",Answer: 26.
22,"In a puzzle, 7 triangles, 2 squares, and 9 circles are drawn. What is the total number of shapes?
Add 7, 2, and 9 to get 18.",Answer: 18.
23,"During a game, a player collects 5 bronze coins, 14 silver coins, and 11 gold coins. How many coins has the player collected?
Add 5, 14, and 11 to get 30.",Answer: 30.
24,"A child stacks 10 wooden blocks, then adds 15 plastic blocks and 14 foam blocks. How many blocks are stacked now?
Add 10, 15, and 14 to get 39.",Answer: 39.
25,"There are 6 red balloons, 10 blue balloons, and 4 green balloons in a classroom. How many balloons are there in total?
Add 6, 10, and 4 to get 20.",Answer: 20.
26,"A farmer counts 12 cows in one field, 2 sheep in another, and 1 goats near the barn. How many animals does the farmer see altogether?
Add 12, 2, and 1 to get 15.",Answer: 15.
27,"In a puzzle, 11 triangles, 4 squares, and 13 circles are drawn. What is the total number of shapes?
Add 11, 4, and 13 to get 28.",Answer: 28.
28,"During a game, a player collects 5 bronze coins, 2 silver coins, and 14 gold coins. How many coins has the player collected?
Add 5, 2, and 14 to get 21.",Answer: 21.
29,"A child stacks 4 wooden blocks, then adds 14 plastic blocks and 2 foam blocks. How many blocks are stacked now?
Add 4, 14, and 2 to get 20.",Answer: 20.
30,"There are 7 red balloons, 5 blue balloons, and 8 green balloons in a classroom. How many balloons are there in total?
Add 7, 5, and 8 to get 20.",Answer: 20.
31,"A farmer counts 11 cows in one field, 14 sheep in another, and 6 goats near the barn. How many animals does the farmer see altogether?
Add 11, 14, and 6 to get 31.",Answer: 31.
32,"In a puzzle, 3 triangles, 6 squares, and 6 circles are drawn. What is the total number of shapes?
Add 3, 6, and 6 to get 15.",Answer: 15.
